  14  12   4  0.12388E-05  0.14314E-05  0.18651E-05  0.32445E-11  0.48043E+00  0.40709E+06
  14  12   6  0.12388E-05  0.14314E-05  0.22090E-05  0.58365E-11  0.76080E+00  0.62129E+06
  14  12   8  0.12388E-05  0.14314E-05  0.19234E-05  0.45269E-11  0.65522E+00  0.84696E+06
  14  12  10  0.12388E-05  0.14314E-05  0.17519E-05  0.29809E-11  0.46208E+00  0.10634E+07
  14  12  12  0.12388E-05  0.14314E-05  0.14314E-05  0.54583E-11  0.97551E+00  0.62976E+06
  14  14   2  0.12388E-05  0.12388E-05  0.12313E-05  0.22676E-11  0.49454E+00  0.10937E+06
  14  14   4  0.12388E-05  0.12388E-05  0.18651E-05  0.13228E-11  0.21489E+00  0.24341E+06
  14  14   6  0.12388E-05  0.12388E-05  0.22090E-05  0.14919E-11  0.21290E+00  0.36350E+06
  14  14   8  0.12388E-05  0.12388E-05  0.19234E-05  0.50895E-11  0.80788E+00  0.49513E+06
  14  14  10  0.12388E-05  0.12388E-05  0.17519E-05  0.57609E-11  0.98058E+00  0.62117E+06
  14  14  12  0.12388E-05  0.12388E-05  0.14314E-05  0.63947E-11  0.12585E+01  0.73596E+06
  14  14  14  0.12388E-05  0.12388E-05  0.12388E-05  0.36520E-12  0.79327E-01  0.28673E+06
  16   8   8  0.11035E-05  0.19234E-05  0.19234E-05  0.40692E-11  0.51222E+00  0.15310E+06
  16  10   6  0.11035E-05  0.17519E-05  0.22090E-05  0.84387E-11  0.10240E+01  0.28614E+06
  16  10   8  0.11035E-05  0.17519E-05  0.19234E-05  0.69799E-11  0.94003E+00  0.79324E+06
  16  10  10  0.11035E-05  0.17519E-05  0.17519E-05  0.11126E-10  0.16042E+01  0.51137E+06
  16  12   4  0.11035E-05  0.14314E-05  0.18651E-05  0.29282E-11  0.46424E+00  0.22908E+06
  16  12   6  0.11035E-05  0.14314E-05  0.22090E-05  0.59842E-11  0.83357E+00  0.69071E+06
  16  12   8  0.11035E-05  0.14314E-05  0.19234E-05  0.62272E-11  0.96468E+00  0.96482E+06
  16  12  10  0.11035E-05  0.14314E-05  0.17519E-05  0.57818E-11  0.96037E+00  0.12096E+07
  16  12  12  0.11035E-05  0.14314E-05  0.14314E-05  0.26077E-11  0.50070E+00  0.71729E+06
  16  14   2  0.11035E-05  0.12388E-05  0.12313E-05  0.40615E-11  0.95542E+00  0.12912E+06
  16  14   4  0.11035E-05  0.12388E-05  0.18651E-05  0.77799E-11  0.13564E+01  0.54250E+06
  16  14   6  0.11035E-05  0.12388E-05  0.22090E-05  0.70440E-11  0.10769E+01  0.82687E+06
  16  14   8  0.11035E-05  0.12388E-05  0.19234E-05  0.96571E-12  0.16446E+00  0.11250E+07
  16  14  10  0.11035E-05  0.12388E-05  0.17519E-05  0.50212E-11  0.91789E+00  0.14160E+07
  16  14  12  0.11035E-05  0.12388E-05  0.14314E-05  0.16065E-11  0.34037E+00  0.16741E+07
  16  14  14  0.11035E-05  0.12388E-05  0.12388E-05  0.35032E-11  0.82069E+00  0.97958E+06
  16  16   2  0.11035E-05  0.11035E-05  0.12313E-05  0.32594E-11  0.82828E+00  0.14175E+06
  16  16   4  0.11035E-05  0.11035E-05  0.18651E-05  0.52011E-11  0.97506E+00  0.31571E+06
  16  16   6  0.11035E-05  0.11035E-05  0.22090E-05  0.47847E-11  0.78529E+00  0.47112E+06
  16  16   8  0.11035E-05  0.11035E-05  0.19234E-05  0.31563E-11  0.57780E+00  0.64176E+06
  16  16  10  0.11035E-05  0.11035E-05  0.17519E-05  0.21322E-11  0.41939E+00  0.80502E+06
  16  16  12  0.11035E-05  0.11035E-05  0.14314E-05  0.11876E-11  0.27133E+00  0.95366E+06
  16  16  14  0.11035E-05  0.11035E-05  0.12388E-05  0.13913E-11  0.35207E+00  0.11154E+07
  16  16  16  0.11035E-05  0.11035E-05  0.11035E-05  0.22686E-11  0.62098E+00  0.42277E+06
  18  10   8  0.98197E-06  0.17519E-05  0.19234E-05  0.75463E-11  0.10814E+01  0.44547E+06
  18  10  10  0.98197E-06  0.17519E-05  0.17519E-05  0.44030E-11  0.67639E+00  0.56643E+06
  18  12   6  0.98197E-06  0.14314E-05  0.22090E-05  0.10390E-10  0.15423E+01  0.38629E+06
  18  12   8  0.98197E-06  0.14314E-05  0.19234E-05  0.70513E-11  0.11660E+01  0.10684E+07
  18  12  10  0.98197E-06  0.14314E-05  0.17519E-05  0.29498E-11  0.52361E+00  0.13779E+07
  18  12  12  0.98197E-06  0.14314E-05  0.14314E-05  0.24279E-11  0.49955E+00  0.81575E+06
  18  14   4  0.98197E-06  0.12388E-05  0.18651E-05  0.58756E-11  0.10965E+01  0.30330E+06
  18  14   6  0.98197E-06  0.12388E-05  0.22090E-05  0.68787E-11  0.11236E+01  0.91829E+06
  18  14   8  0.98197E-06  0.12388E-05  0.19234E-05  0.56262E-11  0.10252E+01  0.12816E+07
  18  14  10  0.98197E-06  0.12388E-05  0.17519E-05  0.22438E-11  0.43936E+00  0.16096E+07
  18  14  12  0.98197E-06  0.12388E-05  0.14314E-05  0.30216E-11  0.68747E+00  0.19042E+07
  18  14  14  0.98197E-06  0.12388E-05  0.12388E-05  0.27327E-11  0.68876E+00  0.11139E+07
  18  16   2  0.98197E-06  0.11035E-05  0.12313E-05  0.45876E-11  0.12564E+01  0.16608E+06
  18  16   4  0.98197E-06  0.11035E-05  0.18651E-05  0.36847E-11  0.74089E+00  0.70138E+06
  18  16   6  0.98197E-06  0.11035E-05  0.22090E-05  0.63854E-11  0.11222E+01  0.10710E+07
  18  16   8  0.98197E-06  0.11035E-05  0.19234E-05  0.34889E-11  0.68480E+00  0.14590E+07
  18  16  10  0.98197E-06  0.11035E-05  0.17519E-05  0.37752E-11  0.79694E+00  0.18331E+07
  18  16  12  0.98197E-06  0.11035E-05  0.14314E-05  0.30069E-11  0.73902E+00  0.21696E+07
  18  16  14  0.98197E-06  0.11035E-05  0.12388E-05  0.26194E-11  0.71431E+00  0.25359E+07
  18  16  16  0.98197E-06  0.11035E-05  0.11035E-05  0.19733E-11  0.58295E+00  0.14440E+07
  18  18   2  0.98197E-06  0.98197E-06  0.12313E-05 -0.97999E-12 -0.28973E+00  0.18340E+06
  18  18   4  0.98197E-06  0.98197E-06  0.18651E-05  0.16485E-11  0.35626E+00  0.40835E+06
  18  18   6  0.98197E-06  0.98197E-06  0.22090E-05  0.42929E-11  0.80961E+00  0.60965E+06
  18  18   8  0.98197E-06  0.98197E-06  0.19234E-05  0.12229E-11  0.25792E+00  0.82988E+06
  18  18  10  0.98197E-06  0.98197E-06  0.17519E-05  0.12946E-11  0.29391E+00  0.10427E+07
  18  18  12  0.98197E-06  0.98197E-06  0.14314E-05  0.39498E-11  0.10462E+01  0.12341E+07
  18  18  14  0.98197E-06  0.98197E-06  0.12388E-05  0.15660E-11  0.46096E+00  0.14426E+07
  18  18  16  0.98197E-06  0.98197E-06  0.11035E-05  0.17480E-11  0.55819E+00  0.16417E+07
  18  18  18  0.98197E-06  0.98197E-06  0.98197E-06  0.15158E-11  0.52401E+00  0.62292E+06
  20  10  10  0.92548E-06  0.17519E-05  0.17519E-05  0.95904E-11  0.15195E+01  0.31369E+06
  20  12   8  0.92548E-06  0.14314E-05  0.19234E-05  0.76157E-11  0.13001E+01  0.58306E+06
  20  12  10  0.92548E-06  0.14314E-05  0.17519E-05  0.54167E-11  0.99323E+00  0.14931E+07
  20  12  12  0.92548E-06  0.14314E-05  0.14314E-05  0.49112E-11  0.10453E+01  0.90686E+06
  20  14   6  0.92548E-06  0.12388E-05  0.22090E-05  0.16572E-11  0.27960E+00  0.49596E+06
  20  14   8  0.92548E-06  0.12388E-05  0.19234E-05  0.51067E-11  0.96187E+00  0.13877E+07
  20  14  10  0.92548E-06  0.12388E-05  0.17519E-05  0.40409E-11  0.81833E+00  0.17886E+07
  20  14  12  0.92548E-06  0.12388E-05  0.14314E-05  0.40583E-11  0.95615E+00  0.21174E+07
  20  14  14  0.92548E-06  0.12388E-05  0.12388E-05  0.30283E-11  0.79119E+00  0.12382E+07
  20  16   4  0.92548E-06  0.11035E-05  0.18651E-05  0.55113E-11  0.11469E+01  0.37861E+06
  20  16   6  0.92548E-06  0.11035E-05  0.22090E-05  0.59629E-11  0.10835E+01  0.11594E+07
  20  16   8  0.92548E-06  0.11035E-05  0.19234E-05  0.41744E-11  0.84780E+00  0.16222E+07
  20  16  10  0.92548E-06  0.11035E-05  0.17519E-05  0.44176E-11  0.96542E+00  0.20382E+07
  20  16  12  0.92548E-06  0.11035E-05  0.14314E-05  0.40654E-11  0.10356E+01  0.24101E+07
  20  16  14  0.92548E-06  0.11035E-05  0.12388E-05  0.18298E-11  0.51767E+00  0.28183E+07
  20  16  16  0.92548E-06  0.11035E-05  0.11035E-05  0.25896E-11  0.79429E+00  0.16051E+07
  20  18   2  0.92548E-06  0.98197E-06  0.12313E-05  0.44863E-11  0.13773E+01  0.20817E+06
  20  18   4  0.92548E-06  0.98197E-06  0.18651E-05  0.49139E-11  0.11002E+01  0.88605E+06
  20  18   6  0.92548E-06  0.98197E-06  0.22090E-05  0.32891E-11  0.64212E+00  0.13545E+07
  20  18   8  0.92548E-06  0.98197E-06  0.19234E-05  0.33458E-11  0.73091E+00  0.18439E+07
  20  18  10  0.92548E-06  0.98197E-06  0.17519E-05  0.20729E-11  0.48770E+00  0.23169E+07
  20  18  12  0.92548E-06  0.98197E-06  0.14314E-05  0.22394E-11  0.61538E+00  0.27440E+07
  20  18  14  0.92548E-06  0.98197E-06  0.12388E-05  0.24681E-11  0.75438E+00  0.32076E+07
  20  18  16  0.92548E-06  0.98197E-06  0.11035E-05  0.27549E-11  0.91414E+00  0.36504E+07
  20  18  18  0.92548E-06  0.98197E-06  0.98197E-06  0.10332E-11  0.37140E+00  0.20772E+07
  20  20   2  0.92548E-06  0.92548E-06  0.12313E-05  0.42827E-11  0.13659E+01  0.22636E+06
  20  20   4  0.92548E-06  0.92548E-06  0.18651E-05  0.56635E-11  0.13144E+01  0.50492E+06
  20  20   6  0.92548E-06  0.92548E-06  0.22090E-05  0.25823E-11  0.52219E+00  0.75331E+06
  20  20   8  0.92548E-06  0.92548E-06  0.19234E-05  0.42344E-11  0.95874E+00  0.10257E+07
  20  20  10  0.92548E-06  0.92548E-06  0.17519E-05  0.22666E-11  0.55294E+00  0.12873E+07
  20  20  12  0.92548E-06  0.92548E-06  0.14314E-05  0.40355E-11  0.11510E+01  0.15254E+07
  20  20  14  0.92548E-06  0.92548E-06  0.12388E-05  0.19999E-11  0.63501E+00  0.17823E+07
  20  20  16  0.92548E-06  0.92548E-06  0.11035E-05  0.92681E-12  0.31969E+00  0.20292E+07
  20  20  18  0.92548E-06  0.92548E-06  0.98197E-06  0.10077E-11  0.37683E+00  0.23065E+07
  20  20  20  0.92548E-06  0.92548E-06  0.92548E-06  0.22362E-11  0.87029E+00  0.85547E+06
  22  12  10  0.86501E-06  0.14314E-05  0.17519E-05  0.83735E-11  0.15916E+01  0.81190E+06
  22  12  12  0.86501E-06  0.14314E-05  0.14314E-05  0.73899E-11  0.16330E+01  0.96306E+06
  22  14   8  0.86501E-06  0.12388E-05  0.19234E-05  0.59926E-11  0.11709E+01  0.74011E+06
  22  14  10  0.86501E-06  0.12388E-05  0.17519E-05  0.64341E-11  0.13525E+01  0.18993E+07
  22  14  12  0.86501E-06  0.12388E-05  0.14314E-05  0.52611E-11  0.12886E+01  0.23087E+07
  22  14  14  0.86501E-06  0.12388E-05  0.12388E-05  0.37141E-11  0.10099E+01  0.13466E+07
  22  16   6  0.86501E-06  0.11035E-05  0.22090E-05  0.56879E-11  0.10726E+01  0.61195E+06
  22  16   8  0.86501E-06  0.11035E-05  0.19234E-05  0.68727E-11  0.14497E+01  0.17186E+07
  22  16  10  0.86501E-06  0.11035E-05  0.17519E-05  0.43357E-11  0.98468E+00  0.22174E+07
  22  16  12  0.86501E-06  0.11035E-05  0.14314E-05  0.32186E-11  0.85321E+00  0.26269E+07
  22  16  14  0.86501E-06  0.11035E-05  0.12388E-05  0.18155E-11  0.53507E+00  0.30690E+07
  22  16  16  0.86501E-06  0.11035E-05  0.11035E-05  0.25787E-11  0.82470E+00  0.17465E+07
  22  18   4  0.86501E-06  0.98197E-06  0.18651E-05  0.57541E-11  0.13400E+01  0.46966E+06
  22  18   6  0.86501E-06  0.98197E-06  0.22090E-05  0.55010E-11  0.11160E+01  0.14365E+07
  22  18   8  0.86501E-06  0.98197E-06  0.19234E-05  0.29771E-11  0.67633E+00  0.20094E+07
  22  18  10  0.86501E-06  0.98197E-06  0.17519E-05  0.39027E-11  0.95535E+00  0.25229E+07
  22  18  12  0.86501E-06  0.98197E-06  0.14314E-05  0.18152E-11  0.51964E+00  0.29853E+07
  22  18  14  0.86501E-06  0.98197E-06  0.12388E-05  0.18731E-11  0.59702E+00  0.34921E+07
  22  18  16  0.86501E-06  0.98197E-06  0.11035E-05  0.15323E-11  0.53064E+00  0.39744E+07
  22  18  18  0.86501E-06  0.98197E-06  0.98197E-06  0.12310E-11  0.46224E+00  0.22603E+07
  22  20   2  0.86501E-06  0.92548E-06  0.12313E-05  0.37724E-11  0.12553E+01  0.25459E+06
  22  20   4  0.86501E-06  0.92548E-06  0.18651E-05  0.16091E-11  0.38867E+00  0.10732E+07
  22  20   6  0.86501E-06  0.92548E-06  0.22090E-05  0.49235E-11  0.10353E+01  0.16391E+07
  22  20   8  0.86501E-06  0.92548E-06  0.19234E-05  0.41257E-11  0.97206E+00  0.22313E+07
  22  20  10  0.86501E-06  0.92548E-06  0.17519E-05  0.44078E-11  0.11195E+01  0.28058E+07
  22  20  12  0.86501E-06  0.92548E-06  0.14314E-05  0.18989E-11  0.56457E+00  0.33178E+07
  22  20  14  0.86501E-06  0.92548E-06  0.12388E-05  0.14402E-11  0.47713E+00  0.38814E+07
